Game,Store,Address,City,ZIP,Number of winners sold,Total amount won
Pick 3,7-ELEVEN #35357J,5190 W 113TH AVENUE,WESTMINSTER,80031,11,"$3,390"
Pick 3,7-ELEVEN #35365A,380 E 17TH AVENUE,DENVER,80203,25,"$12,480"
Pick 3,7-ELEVEN #35506J,3045 W PROSPECT ROAD,FORT COLLINS,80526,7,"$6,760"
Pick 3,7-ELEVEN #35511A,4990 E HAMPDEN AVE,DENVER,80222,10,"$3,840"
Pick 3,7-ELEVEN #35519B,4406 N SHERIDAN BLVD,DENVER,80212,17,"$5,680"
Pick 3,7-ELEVEN #35534A,5280 ASTROZON BLVD,COLORADO SPRINGS,80916,62,"$25,680"
Pick 3,7-ELEVEN #35536B,450 FEDERAL BLVD,DENVER,80204,20,"$6,890"
Pick 3,7-ELEVEN #35598A,3495 S FEDERAL BLVD,ENGLEWOOD,80110,20,"$7,330"
Pick 3,7-ELEVEN #35600A,7718 E WOODMEN RD,COLORADO SPRINGS,80908,6,"$3,950"
Pick 3,7-ELEVEN #35604A,3391 W HAMPDEN AVENUE,SHERIDAN,80110,16,"$5,450"
Pick 3,7-ELEVEN #35606B,5785 WARD ROAD,ARVADA,80002,7,"$3,190"
Pick 3,7-ELEVEN #35610A,7692 BARNES ROAD,COLORADO SPRINGS,80922,65,"$34,100"
Pick 3,7-ELEVEN #35617A,3400 YORK STREET,DENVER,80205,46,"$18,830"
Pick 3,7-ELEVEN #35622,6630 S YOSEMITE ST,GREENWOOD VILLAGE,80111,18,"$6,670"
Pick 3,7-ELEVEN #35668A,3445 W COLFAX AVENUE,DENVER,80204,15,"$5,690"
Pick 3,7-ELEVEN #35689A,1450 S SANTA FE DRIVE STE A,DENVER,80223,2,$500
Pick 3,7-ELEVEN #35708A,4277 N TAFT AVENUE,LOVELAND,80538,24,"$8,190"
Pick 3,7-ELEVEN #35715B,3876 E BROMLEY LANE,BRIGHTON,80601,4,"$1,590"
Pick 3,7-ELEVEN #35717A,6400 E. CROSSROADS BLVD,LOVELAND,80538,2,"$2,000"
Pick 3,7-ELEVEN #35822A,3502 N ACADEMY BLVD,COLORADO SPRINGS,80917,39,"$13,700"
Pick 3,7-ELEVEN #35828A,6966 DAHLIA ST,COMMERCE CITY,80022,2,$580
Pick 3,7-ELEVEN #35864A,8991 E. 104TH AVE,HENDERSON,80640,14,"$5,690"
Pick 3,7-ELEVEN #35880B,1401 ELIZABETH STREET,FORT COLLINS,80521,9,"$3,480"
Pick 3,7-ELEVEN #35976B,8755 E MONTVIEW BLVD,DENVER,80220,59,"$21,870"
Pick 3,7-ELEVEN #35979A,2950 W EVANS AVE,DENVER,80219,14,"$6,030"
Pick 3,7-ELEVEN #35995B,1600 E EVANS AVENUE,DENVER,80210,10,"$3,440"
Pick 3,7-ELEVEN #36013A,12060 E 120TH AVENUE,HENDERSON,80640,35,"$11,410"
Pick 3,7-ELEVEN #36017A,4900 E BRIDGE ST,BRIGHTON,80601,2,"$1,000"
Pick 3,7-ELEVEN #36019A,1800 WELTON STREET,DENVER,80202,26,"$10,040"
Pick 3,7-ELEVEN #36464B,8111 TOWER ROAD,COMMERCE CITY,80022,40,"$16,520"
